Bx,By,Bmagnetic,CoreLoss
5.96936e-07,-2.27718e-10,5.96936e-07,1.25982e-12
5.96969e-07,-2.20961e-10,5.96969e-07,1.25996e-12
5.97001e-07,-2.10096e-10,5.97001e-07,1.2601e-12
5.97034e-07,-1.94331e-10,5.97034e-07,1.26024e-12
5.97066e-07,-1.72792e-10,5.97066e-07,1.26037e-12
5.97095e-07,-1.44745e-10,5.97095e-07,1.2605e-12
5.97121e-07,-1.09931e-10,5.97121e-07,1.26061e-12
5.97142e-07,-6.89457e-11,5.97142e-07,1.26069e-12
5.97155e-07,-2.35258e-11,5.97155e-07,1.26075e-12
5.9716e-07,-1.8873e-11,5.9716e-07,1.26077e-12
5.33766e-07,-2.98104e-11,5.33766e-07,1.0073e-12
5.33773e-07,-8.67701e-11,5.33773e-07,1.00732e-12
5.33791e-07,-1.36751e-10,5.33791e-07,1.00739e-12
5.33817e-07,-1.77529e-10,5.33817e-07,1.00749e-12
5.3385e-07,-2.08844e-10,5.3385e-07,1.00761e-12
5.33886e-07,-2.31684e-10,5.33886e-07,1.00775e-12
5.33924e-07,-2.47558e-10,5.33924e-07,1.00789e-12
5.33961e-07,-2.57985e-10,5.33961e-07,1.00803e-12
5.33998e-07,-2.64217e-10,5.33998e-07,1.00817e-12
5.34035e-07,-2.67115e-10,5.34035e-07,1.00831e-12
5.34071e-07,-2.67115e-10,5.34071e-07,1.00845e-12
5.34107e-07,-2.64217e-10,5.34107e-07,1.00858e-12
5.34143e-07,-2.57985e-10,5.34143e-07,1.00872e-12
5.3418e-07,-2.47558e-10,5.34181e-07,1.00886e-12
5.34218e-07,-2.31684e-10,5.34218e-07,1.009e-12
5.34255e-07,-2.08844e-10,5.34255e-07,1.00914e-12
5.34291e-07,-1.77529e-10,5.34291e-07,1.00928e-12
5.34324e-07,-1.36751e-10,5.34324e-07,1.0094e-12
5.34351e-07,-8.67701e-11,5.34351e-07,1.0095e-12
5.34369e-07,-2.98104e-11,5.34369e-07,1.00957e-12
5.34375e-07,-2.35258e-11,5.34375e-07,1.0096e-12
4.70875e-07,-3.87559e-11,4.70875e-07,7.8391e-13
4.70884e-07,-1.11574e-10,4.70884e-07,7.8394e-13
4.70909e-07,-1.72774e-10,4.70909e-07,7.84023e-13
4.70945e-07,-2.19776e-10,4.70945e-07,7.84143e-13
4.70987e-07,-2.5337e-10,4.70987e-07,7.84283e-13
